"GICS.Sector","ref.date","avg_cum_return"
"Communication Services",2020-01-02,0
"Communication Services",2020-01-03,-0.00359774794422586
"Communication Services",2020-01-06,0.00346490976245189
"Communication Services",2020-01-07,0.00586297118408525
"Communication Services",2020-01-08,0.00989463778132797
"Communication Services",2020-01-09,0.0119209981472334
"Communication Services",2020-01-10,0.0037259666244198
"Communication Services",2020-01-13,0.0148709722825611
"Communication Services",2020-01-14,0.0156088576955845
"Communication Services",2020-01-15,0.0195371722599747
"Communication Services",2020-01-16,0.02934636418298
"Communication Services",2020-01-17,0.0336980320775112
"Communication Services",2020-01-21,0.0271964714331177
"Communication Services",2020-01-22,0.0268638540689828
"Communication Services",2020-01-23,0.0173799470405203
"Communication Services",2020-01-24,0.000698271423261977
"Communication Services",2020-01-27,-0.0126724199704179
"Communication Services",2020-01-28,-0.00401309106780674
"Communication Services",2020-01-29,-0.0149849539459284
"Communication Services",2020-01-30,-0.0119994360973522
"Communication Services",2020-01-31,-0.0322034843893838
"Communication Services",2020-02-03,-0.0272842741953851
"Communication Services",2020-02-04,-0.00924772038713276
"Communication Services",2020-02-05,-0.00979762784018048
"Communication Services",2020-02-06,-0.00600237230756341
"Communication Services",2020-02-07,-0.0144766709510424
"Communication Services",2020-02-10,-0.0130831924619681
"Communication Services",2020-02-11,-0.0064462486803112
"Communication Services",2020-02-12,0.00774270563810426
"Communication Services",2020-02-13,0.00873557855829162
"Communication Services",2020-02-14,0.0104427687253309
"Communication Services",2020-02-18,0.0154929718292567
"Communication Services",2020-02-19,0.0218988664103115
"Communication Services",2020-02-20,0.0101363365789727
"Communication Services",2020-02-21,-0.00331204040756138
"Communication Services",2020-02-24,-0.0375429040193887
"Communication Services",2020-02-25,-0.0675241325340989
"Communication Services",2020-02-26,-0.0782861354901083
"Communication Services",2020-02-27,-0.113758656647457
"Communication Services",2020-02-28,-0.107239307490954
"Communication Services",2020-03-02,-0.0829175014255193
"Communication Services",2020-03-03,-0.108301556959538
"Communication Services",2020-03-04,-0.0840762407587924
"Communication Services",2020-03-05,-0.11847579993388
"Communication Services",2020-03-06,-0.133929551463063
"Communication Services",2020-03-09,-0.192822844919379
"Communication Services",2020-03-10,-0.153868174127708
"Communication Services",2020-03-11,-0.190024578538514
"Communication Services",2020-03-12,-0.268122286610279
"Communication Services",2020-03-13,-0.208870101432115
"Communication Services",2020-03-16,-0.28906965439182
"Communication Services",2020-03-17,-0.260228193340338
"Communication Services",2020-03-18,-0.303269653449026
"Communication Services",2020-03-19,-0.287919609174231
"Communication Services",2020-03-20,-0.325789291949724
"Communication Services",2020-03-23,-0.319325757736505
"Communication Services",2020-03-24,-0.272998496275693
"Communication Services",2020-03-25,-0.270682904649766
"Communication Services",2020-03-26,-0.23182580768052
"Communication Services",2020-03-27,-0.26869735197965
"Communication Services",2020-03-30,-0.241936851006032
"Communication Services",2020-03-31,-0.24602013001714
"Communication Services",2020-04-01,-0.279191053994891
"Communication Services",2020-04-02,-0.275412352666694
"Communication Services",2020-04-03,-0.287933031144708
"Communication Services",2020-04-06,-0.237120741372411
"Communication Services",2020-04-07,-0.229035168100657
