"ticker","volatility","Security","GICS.Sector","GICS.Sub.Industry"
"A",0.0190748845907072,"Agilent Technologies","Health Care","Life Sciences Tools & Services"
"AAPL",0.0203290460016586,"Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals"
"ABBV",0.0158004104025912,"AbbVie","Health Care","Biotechnology"
"ABT",0.016236502788169,"Abbott Laboratories","Health Care","Health Care Equipment"
"ACGL",0.0207625580529277,"Arch Capital Group","Financials","Property & Casualty Insurance"
"ACN",0.0184832301807645,"Accenture","Information Technology","IT Consulting & Other Services"
"ADBE",0.023945409764031,"Adobe Inc.","Information Technology","Application Software"
"ADI",0.0228623571884007,"Analog Devices","Information Technology","Semiconductors"
"ADM",0.0190847682246294,"Archer Daniels Midland","Consumer Staples","Agricultural Products & Services"
"ADP",0.0168627428022653,"Automatic Data Processing","Industrials","Human Resource & Employment Services"
"ADSK",0.0240072656295533,"Autodesk","Information Technology","Application Software"
"AEE",0.0159509930001321,"Ameren","Utilities","Multi-Utilities"
"AEP",0.015234972037128,"American Electric Power","Utilities","Electric Utilities"
"AES",0.0267146553501938,"AES Corporation","Utilities","Independent Power Producers & Energy Traders"
"AFL",0.0195660478399479,"Aflac","Financials","Life & Health Insurance"
"AIG",0.024246915207422,"American International Group","Financials","Multi-line Insurance"
"AIZ",0.0192794793669308,"Assurant","Financials","Multi-line Insurance"
"AJG",0.0161794553696855,"Arthur J. Gallagher & Co.","Financials","Insurance Brokers"
"AKAM",0.0200039377397973,"Akamai Technologies","Information Technology","Internet Services & Infrastructure"
"ALB",0.0344161984857472,"Albemarle Corporation","Materials","Specialty Chemicals"
"ALGN",0.0344482523622856,"Align Technology","Health Care","Health Care Supplies"
"ALL",0.0183597820461567,"Allstate","Financials","Property & Casualty Insurance"
"ALLE",0.0191096275935452,"Allegion","Industrials","Building Products"
"AMAT",0.0294442071488868,"Applied Materials","Information Technology","Semiconductor Materials & Equipment"
"AMCR",0.0183906790818083,"Amcor","Materials","Paper & Plastic Packaging Products & Materials"
"AMD",0.0331919651814405,"Advanced Micro Devices","Information Technology","Semiconductors"
"AME",0.0171891578758572,"Ametek","Industrials","Electrical Components & Equipment"
"AMGN",0.0166470371973433,"Amgen","Health Care","Biotechnology"
"AMP",0.0241792990895481,"Ameriprise Financial","Financials","Asset Management & Custody Banks"
"AMT",0.0189094576855412,"American Tower","Real Estate","Telecom Tower REITs"
"AMZN",0.0225578408699988,"Amazon","Consumer Discretionary","Broadline Retail"
"ANET",0.0286051987643596,"Arista Networks","Information Technology","Communications Equipment"
"AON",0.0166589917103526,"Aon plc","Financials","Insurance Brokers"
"AOS",0.0186620365139882,"A. O. Smith","Industrials","Building Products"
"APA",0.0430031735293255,"APA Corporation","Energy","Oil & Gas Exploration & Production"
"APD",0.0187175342832336,"Air Products","Materials","Industrial Gases"
"APH",0.0187178777787148,"Amphenol","Information Technology","Electronic Components"
"APO",0.0271155978679109,"Apollo Global Management","Financials","Asset Management & Custody Banks"
"APTV",0.0294291391873469,"Aptiv","Consumer Discretionary","Automotive Parts & Equipment"
"ARE",0.0198282143686859,"Alexandria Real Estate Equities","Real Estate","Office REITs"
"ATO",0.0155012053309405,"Atmos Energy","Utilities","Gas Utilities"
"AVB",0.0184197591185484,"AvalonBay Communities","Real Estate","Multi-Family Residential REITs"
"AVGO",0.0274202887993536,"Broadcom","Information Technology","Semiconductors"
"AVY",0.0191340716791022,"Avery Dennison","Materials","Paper & Plastic Packaging Products & Materials"
"AWK",0.0172785280805138,"American Water Works","Utilities","Water Utilities"
"AXON",0.0319439659118968,"Axon Enterprise","Industrials","Aerospace & Defense"
"AXP",0.0238461977381157,"American Express","Financials","Consumer Finance"
"AZO",0.0173217809423653,"AutoZone","Consumer Discretionary","Automotive Retail"
"BA",0.0312659350186847,"Boeing","Industrials","Aerospace & Defense"
"BAC",0.0219671796010379,"Bank of America","Financials","Diversified Banks"
"BALL",0.0202157701498376,"Ball Corporation","Materials","Metal, Glass & Plastic Containers"
"BAX",0.0200535229173905,"Baxter International","Health Care","Health Care Equipment"
"BBY",0.0251133855487776,"Best Buy","Consumer Discretionary","Computer & Electronics Retail"
"BDX",0.0161513170516712,"Becton Dickinson","Health Care","Health Care Equipment"
"BEN",0.0236730550097648,"Franklin Resources","Financials","Asset Management & Custody Banks"
"BG",0.0208908197309009,"Bunge Global","Consumer Staples","Agricultural Products & Services"
"BIIB",0.0285043306874627,"Biogen","Health Care","Biotechnology"
"BK",0.0193148772407798,"BNY Mellon","Financials","Asset Management & Custody Banks"
"BKNG",0.022821151352595,"Booking Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"BKR",0.0274952727622176,"Baker Hughes","Energy","Oil & Gas Equipment & Services"
"BLDR",0.0333161773094057,"Builders FirstSource","Industrials","Building Products"
"BLK",0.0196456608374945,"BlackRock","Financials","Asset Management & Custody Banks"
"BMY",0.0153834489693682,"Bristol Myers Squibb","Health Care","Pharmaceuticals"
"BR",0.0160586065030803,"Broadridge Financial Solutions","Industrials","Data Processing & Outsourced Services"
"BRO",0.0168127132300904,"Brown & Brown","Financials","Insurance Brokers"
"BSX",0.0173838847304299,"Boston Scientific","Health Care","Health Care Equipment"
"BX",0.0259668028500597,"Blackstone Inc.","Financials","Asset Management & Custody Banks"
"BXP",0.0244027176798788,"BXP, Inc.","Real Estate","Office REITs"
"C",0.0242315010539552,"Citigroup","Financials","Diversified Banks"
"CAG",0.0155355433784873,"Conagra Brands","Consumer Staples","Packaged Foods & Meats"
"CAH",0.0183412956262703,"Cardinal Health","Health Care","Health Care Distributors"
"CARR",0.0237134800403653,"Carrier Global","Industrials","Building Products"
"CAT",0.0202758296051395,"Caterpillar Inc.","Industrials","Construction Machinery & Heavy Transportation Equipment"
"CB",0.0175391485642479,"Chubb Limited","Financials","Property & Casualty Insurance"
"CBOE",0.0173361054368949,"Cboe Global Markets","Financials","Financial Exchanges & Data"
"CBRE",0.0236400575149892,"CBRE Group","Real Estate","Real Estate Services"
"CCI",0.0185333033297181,"Crown Castle","Real Estate","Telecom Tower REITs"
"CCL",0.0449680457271299,"Carnival","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"CDNS",0.0237273738369969,"Cadence Design Systems","Information Technology","Application Software"
"CDW",0.020649228376564,"CDW Corporation","Information Technology","Technology Distributors"
"CF",0.0260972679765212,"CF Industries","Materials","Fertilizers & Agricultural Chemicals"
"CFG",0.0283091918553398,"Citizens Financial Group","Financials","Regional Banks"
"CHD",0.0143375945013985,"Church & Dwight","Consumer Staples","Household Products"
"CHRW",0.0190301956230903,"C.H. Robinson","Industrials","Air Freight & Logistics"
"CHTR",0.022595926990175,"Charter Communications","Communication Services","Cable & Satellite"
"CI",0.0209126396039341,"Cigna","Health Care","Health Care Services"
"CINF",0.0217600549661091,"Cincinnati Financial","Financials","Property & Casualty Insurance"
"CL",0.013118218081262,"Colgate-Palmolive","Consumer Staples","Household Products"
"CLX",0.0167475626257734,"Clorox","Consumer Staples","Household Products"
"CMCSA",0.0179131183063582,"Comcast","Communication Services","Cable & Satellite"
"CME",0.0170078366686096,"CME Group","Financials","Financial Exchanges & Data"
"CMG",0.0225686856713011,"Chipotle Mexican Grill","Consumer Discretionary","Restaurants"
"CMI",0.0188898173688094,"Cummins","Industrials","Construction Machinery & Heavy Transportation Equipment"
"CMS",0.0150151134957584,"CMS Energy","Utilities","Multi-Utilities"
"CNC",0.0253322844937008,"Centene Corporation","Health Care","Managed Health Care"
"CNP",0.0194242018967563,"CenterPoint Energy","Utilities","Multi-Utilities"
"COF",0.0277126006850676,"Capital One","Financials","Consumer Finance"
"COO",0.0194725788260846,"Cooper Companies (The)","Health Care","Health Care Supplies"
"COP",0.0271463250182007,"ConocoPhillips","Energy","Oil & Gas Exploration & Production"
